Sample in Buffer	Sample in Window	instrAB	instrDB	dataAB_cpu	dataDBo_cpu	dataDBi_cpu	selector	wmode_cpu	finish	datarw_cpu	datareq_cpu	dataae_cpu	dataack_cpu	cancel_cpu	dataack_mem	datareq_mem	emode_cpu	dataack_ports(2)	datareq_ports(2)	enb
252	252	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
253	253	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
254	254	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
255	255	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
256	256	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
257	257	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
258	258	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
259	259	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
260	260	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
261	261	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
262	262	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
263	263	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
264	264	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
265	265	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
266	266	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
267	267	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
268	268	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
269	269	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
270	270	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
271	271	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
272	272	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
273	273	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
274	274	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
275	275	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
276	276	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
277	277	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
278	278	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
279	279	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
280	280	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
281	281	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
282	282	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
283	283	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
284	284	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
285	285	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
286	286	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
287	287	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
288	288	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
289	289	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
290	290	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
291	291	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
292	292	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
293	293	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
294	294	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
295	295	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
296	296	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
297	297	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
298	298	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
299	299	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
300	300	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
301	301	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
302	302	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
303	303	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
304	304	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
305	305	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
306	306	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
307	307	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
308	308	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
309	309	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
310	310	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
311	311	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
312	312	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
313	313	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
314	314	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
315	315	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
316	316	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
317	317	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
318	318	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
319	319	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
320	320	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
321	321	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
322	322	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
323	323	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
324	324	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
325	325	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
326	326	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
327	327	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
328	328	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
329	329	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
330	330	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
331	331	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
332	332	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
333	333	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
334	334	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
335	335	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
336	336	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
337	337	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
338	338	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
339	339	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
340	340	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
341	341	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
342	342	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
343	343	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
344	344	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
345	345	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
346	346	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
347	347	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
348	348	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
349	349	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
350	350	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
351	351	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
352	352	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
353	353	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
354	354	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
355	355	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
356	356	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
357	357	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
358	358	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
359	359	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
360	360	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
361	361	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
362	362	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
363	363	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
364	364	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
365	365	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
366	366	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
367	367	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
368	368	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
369	369	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
370	370	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
371	371	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
372	372	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
373	373	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
374	374	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
375	375	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
376	376	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
377	377	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
378	378	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
379	379	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
380	380	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
381	381	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
382	382	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
383	383	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
384	384	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
385	385	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
386	386	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
387	387	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
388	388	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
389	389	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
390	390	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
391	391	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
392	392	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
393	393	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
394	394	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
395	395	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
396	396	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
397	397	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
398	398	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
399	399	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
400	400	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
401	401	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
402	402	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
403	403	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
404	404	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
405	405	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
406	406	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
407	407	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
408	408	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
409	409	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
410	410	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
411	411	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
412	412	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
413	413	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
414	414	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
415	415	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
416	416	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
417	417	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
418	418	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
419	419	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
420	420	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
421	421	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
422	422	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
423	423	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
424	424	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
425	425	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
426	426	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
427	427	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
428	428	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
429	429	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
430	430	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
431	431	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
432	432	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
433	433	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
434	434	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
435	435	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
436	436	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
437	437	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
438	438	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
439	439	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
440	440	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
441	441	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
442	442	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
443	443	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
444	444	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
445	445	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
446	446	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
447	447	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
448	448	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
449	449	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
450	450	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
451	451	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
452	452	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
453	453	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
454	454	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
455	455	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
456	456	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
457	457	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
458	458	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
459	459	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
460	460	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
461	461	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
462	462	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
463	463	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
464	464	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
465	465	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
466	466	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
467	467	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
468	468	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
469	469	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
470	470	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
471	471	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
472	472	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
473	473	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
474	474	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
475	475	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
476	476	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
477	477	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
478	478	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
479	479	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
480	480	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
481	481	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
482	482	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
483	483	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
484	484	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
485	485	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
486	486	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
487	487	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
488	488	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
489	489	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
490	490	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
491	491	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
492	492	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
493	493	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
494	494	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
495	495	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
496	496	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
497	497	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
498	498	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
499	499	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
500	500	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
501	501	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
502	502	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
