Sample in Buffer	Sample in Window	instrAB	instrDB	dataAB_cpu	dataDBo_cpu	dataDBi_cpu	selector	wmode_cpu	finish	datarw_cpu	datareq_cpu	dataae_cpu	dataack_cpu	cancel_cpu	dataack_mem	datareq_mem	emode_cpu	dataack_ports(2)	datareq_ports(2)	enb
58	58	006C	00000000	0EFCC	0208	0000EFFC	7	3	0	1	1	0	0	0	0	1	0	0	0	0	
59	59	006C	00000000	0EFCC	0208	0000EFFC	7	3	0	1	0	0	0	0	0	0	0	0	0	1	
60	60	006C	00000000	0EFCC	0208	0000EFFC	7	3	0	1	0	0	0	0	0	0	0	0	0	1	
61	61	006C	00000000	0EFCC	0208	0000EFFC	7	3	0	1	0	0	1	0	1	0	0	0	0	1	
62	62	0070	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
63	63	0074	FFF82147	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
64	64	0078	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
65	65	007C	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
66	66	0080	00000000	0EFC8	EFF0	0000EFFC	7	3	0	1	1	0	0	0	0	1	0	0	0	0	
67	67	0080	00000000	0EFC8	EFF0	0000EFFC	7	3	0	1	0	0	0	0	0	0	0	0	0	1	
68	68	0080	00000000	0EFC8	EFF0	0000EFFC	7	3	0	1	0	0	0	0	0	0	0	0	0	1	
69	69	0080	00000000	0EFC8	EFF0	0000EFFC	7	3	0	1	0	0	1	0	1	0	0	0	0	1	
70	70	0084	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
71	71	0088	FFF82920	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
72	72	008C	FFF42960	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
73	73	0090	00084107	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
74	74	0094	00000000	0EFC8	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
75	75	0098	00000000	0EFC4	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
76	76	009C	00000000	0EFD0	0004	0000EFFC	7	3	0	1	1	0	0	0	0	1	0	0	0	0	
77	77	009C	00000000	0EFD0	0004	0000EFFC	7	3	0	1	0	0	0	0	0	0	0	0	0	1	
78	78	009C	00000000	0EFD0	0004	0000EFFC	7	3	0	1	0	0	0	0	0	0	0	0	0	1	
79	79	009C	00000000	0EFD0	0004	0000EFFC	7	3	0	1	0	0	1	0	1	0	0	0	0	1	
80	80	00A0	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
81	81	00A4	010001A0	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
82	82	00A8	000031A8	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
83	83	00AC	FFFC3107	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
84	84	00B0	00000000	00100	EFC8	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
85	85	00B4	00000000	00000	0000	FFFFFFFF	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
86	86	00B8	00000000	0EFC4	0000	0000EFFC	7	3	0	1	1	0	0	0	0	1	0	0	0	0	
87	87	00B8	00000000	0EFC4	0000	0000EFFC	7	3	0	1	0	0	0	0	0	0	0	0	0	1	
88	88	00B8	00000000	0EFC4	0000	0000EFFC	7	3	0	1	0	0	0	0	0	0	0	0	0	1	
89	89	00B8	00000000	0EFC4	0000	0000EFFC	7	3	0	1	0	0	1	0	1	0	0	0	0	1	
90	90	00BC	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
91	91	00C0	0000240B	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
92	92	00C4	00082184	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
93	93	00C8	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
94	94	0154	00082184	00154	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
95	95	0158	00000000	0EF50	0000	0000EFFC	7	3	0	0	0	0	0	0	0	0	0	0	0	0	
96	96	015C	00000000	0EFD0	0000	0000EFFC	7	3	0	0	0	0	0	0	0	0	0	0	0	0	
97	97	0160	00000000	0EFD0	0000	0000EFFC	7	3	0	0	1	0	0	0	0	1	0	0	0	0	
98	98	0160	00000000	0EFD0	0000	0000EFFC	7	3	0	0	0	0	0	0	0	0	0	0	0	1	
99	99	0160	00000000	0EFD0	0000	00010004	7	3	0	0	0	0	0	0	0	0	0	0	0	1	
100	100	0160	00000000	0EFD0	0000	00010004	7	3	0	0	0	0	1	0	1	0	0	0	0	1	
101	101	0164	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
102	102	0168	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
103	103	016C	00003182	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
104	104	0170	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
105	105	0174	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
106	106	0178	00000000	10004	0000	FFFFFF00	7	0	0	0	1	0	0	0	0	1	1	0	0	0	
107	107	0178	00000000	10004	0000	FFFFFF00	7	0	0	0	0	0	0	0	0	0	1	0	0	1	
108	108	0178	00000000	10004	0000	FFFFFF54	7	0	0	0	0	0	0	0	0	0	1	0	0	1	
109	109	0178	00000000	10004	0000	FFFFFF54	7	0	0	0	0	0	1	0	1	0	1	0	0	1	
110	110	017C	00000000	00000	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
111	111	0180	00000000	00000	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
112	112	0184	00FF31E2	00000	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
113	113	0188	000001A0	00000	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
114	114	018C	398CC0C1	00000	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
115	115	0190	FF30300A	00054	0208	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
116	116	0194	000001A0	00000	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
117	117	0198	00000000	00054	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
118	118	00C4	00082184	000C4	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
119	119	00C8	00000000	00000	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
120	120	00CC	00000000	00000	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
121	121	00D0	00000000	0EFD0	0000	54657374	7	3	0	0	1	0	0	0	0	1	0	0	0	0	
122	122	00D0	00000000	0EFD0	0000	54657374	7	3	0	0	0	0	0	0	0	0	0	0	0	1	
123	123	00D0	00000000	0EFD0	0000	00010004	7	3	0	0	0	0	0	0	0	0	0	0	0	1	
124	124	00D0	00000000	0EFD0	0000	00010004	7	3	0	0	0	0	1	0	1	0	0	0	0	1	
125	125	00D4	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
126	126	00D8	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
127	127	00DC	00003182	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
128	128	00E0	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
129	129	00E4	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
130	130	00E8	00000000	10004	0000	FFFFFF00	7	0	0	0	1	0	0	0	0	1	1	0	0	0	
131	131	00E8	00000000	10004	0000	FFFFFF00	7	0	0	0	0	0	0	0	0	0	1	0	0	1	
132	132	00E8	00000000	10004	0000	FFFFFF54	7	0	0	0	0	0	0	0	0	0	1	0	0	1	
133	133	00E8	00000000	10004	0000	FFFFFF54	7	0	0	0	0	0	1	0	1	0	1	0	0	1	
134	134	00EC	00000000	00000	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
135	135	00F0	00000000	00000	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
136	136	00F4	00FF31E2	00000	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
137	137	00F8	FFFC2184	00000	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
138	138	00FC	00000000	00000	0000	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
139	139	0100	00000000	00054	0208	00000054	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
140	140	0104	00000000	0EFC4	0000	54657374	7	3	0	0	1	0	0	0	0	1	0	0	0	0	
141	141	0104	00000000	0EFC4	0000	54657374	7	3	0	0	0	0	0	0	0	0	0	0	0	1	
142	142	0104	00000000	0EFC4	0000	01000000	7	3	0	0	0	0	0	0	0	0	0	0	0	1	
143	143	0104	00000000	0EFC4	0000	01000000	7	3	0	0	0	0	1	0	1	0	0	0	0	1	
144	144	0108	00000000	00000	0000	00000001	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
145	145	010C	00000000	00000	0000	00000001	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
146	146	0110	00003987	00000	0000	00000001	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
147	147	0114	00000000	00000	0000	00000001	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
148	148	0118	00000000	00000	0000	00000001	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
149	149	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	1	0	0	0	0	0	0	0	1	0	
150	150	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
151	151	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
152	152	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
153	153	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
154	154	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
155	155	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
156	156	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
157	157	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
158	158	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
159	159	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
160	160	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
161	161	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
162	162	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
163	163	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
164	164	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
165	165	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
166	166	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
167	167	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
168	168	011C	00000000	00000	0054	FFFFFFFF	2	3	0	1	0	0	0	0	0	0	0	0	0	0	
