 Copyright (C) 2011 ASIP Solutions, Inc. All rights reserved. 
6/29/21 2:50 AM : Query "portinfo(browregfile,synthesis,bit_width=8:num_register=4:num_read_port=1:num_write_port=1:num_bank=1)" finished as normally.
6/29/21 2:50 AM : Query "parameter(dmau0,synthesis)" finished as normally.
6/29/21 2:50 AM : Query "function(dmau0,synthesis,bit_width=8:address_space=16:access_width=8)" finished as normally.
6/29/21 2:50 AM : Query "portinfo(dmau0,synthesis,bit_width=8:address_space=16:access_width=8)" finished as normally.
6/29/21 2:50 AM : Query "parameter(dummy_register,synthesis)" finished as normally.
6/29/21 2:50 AM : Query "function(dummy_register,synthesis,bit_width=1)" finished as normally.
6/29/21 2:50 AM : Query "portinfo(dummy_register,synthesis,bit_width=1)" finished as normally.
6/29/21 2:50 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 2:50 AM : Query "function(fwu,synthesis,bit_width=4:addr_width=1:stage_number=1)" finished as normally.
6/29/21 2:50 AM : Query "portinfo(fwu,synthesis,bit_width=4:addr_width=1:stage_number=1)" finished as normally.
6/29/21 2:50 AM : Query "parameter(fwu0,synthesis)" finished as normally.
6/29/21 2:50 AM : Query "function(fwu0,synthesis,bit_width=4:addr_width=1:stage_number=1)" finished as normally.
6/29/21 2:50 AM : Query "portinfo(fwu0,synthesis,bit_width=4:addr_width=1:stage_number=1)" finished as normally.
6/29/21 2:50 AM : Query "parameter(genport0,synthesis)" finished as normally.
6/29/21 2:50 AM : Query "function(genport0,synthesis,bit_width=1:port_type=in)" finished as normally.
6/29/21 2:50 AM : Query "portinfo(genport0,synthesis,bit_width=1:port_type=in)" finished as normally.
6/29/21 2:50 AM : Query "parameter(imau0,synthesis)" finished as normally.
6/29/21 2:50 AM : Query "function(imau0,synthesis,bit_width=8:address_space=16)" finished as normally.
6/29/21 2:50 AM : Query "portinfo(imau0,synthesis,bit_width=8:address_space=16)" finished as normally.
6/29/21 2:51 AM : Query "parameter(mifu,synthesis)" finished as normally.
